产品成本,快递费,总计,定价,产品毛利,固定12%费用,实际产品毛利,理论投产,付费损耗20%根据店铺实际退款率（周报为准）,保底投产,投入花费,实际产出销售额,退款后金额,投入产出毛利,实际产出毛利,实际利润率
10,2.5,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.9 ,1000,6880.38130381304,5504.3 ,1660.5 ,660.5 ,12.00%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.8 ,1000,6800,5440.0 ,1641.1 ,641.1 ,11.79%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.7 ,1000,6700,5360.0 ,1617.0 ,617.0 ,11.51%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.6 ,1000,6600,5280.0 ,1592.8 ,592.8 ,11.23%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.5 ,1000,6500,5200.0 ,1568.7 ,568.7 ,10.94%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.4 ,1000,6400,5120.0 ,1544.6 ,544.6 ,10.64%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.3 ,1000,6300,5040.0 ,1520.4 ,520.4 ,10.33%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,7.0 ,1000,7000,5600.0 ,1689.4 ,689.4 ,12.31%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,7.1 ,1000,7100,5680.0 ,1713.5 ,713.5 ,12.56%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,7.2 ,1000,7200,5760.0 ,1737.7 ,737.7 ,12.81%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,7.3 ,1000,7300,5840.0 ,1761.8 ,761.8 ,13.04%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,17.3 ,1000,17327.4818401937,13862.0 ,2663.4 ,1663.4 ,12.00%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,17.4 ,1000,17400,13920.0 ,2674.6 ,1674.6 ,12.03%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,17.5 ,1000,17500,14000.0 ,2690.0 ,1690.0 ,12.07%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,18.0 ,1000,18000,14400.0 ,2766.8 ,1766.8 ,12.27%
